pigid,weeknumber,weight,TimeM2Plus,TimeM3Plus,TimeM4Plus,TimeM5Plus,TimeM6Plus,TimeM7Plus,TimeM8Plus
1,1,24,0,0,0,0,0,0,0
1,2,32,0,0,0,0,0,0,0
1,3,39,1,0,0,0,0,0,0
1,4,42.5,2,1,0,0,0,0,0
1,5,48,3,2,1,0,0,0,0
1,6,54.5,4,3,2,1,0,0,0
1,7,61,5,4,3,2,1,0,0
1,8,65,6,5,4,3,2,1,0
1,9,72,7,6,5,4,3,2,1
2,1,22.5,0,0,0,0,0,0,0
2,2,30.5,0,0,0,0,0,0,0
2,3,40.5,1,0,0,0,0,0,0
2,4,45,2,1,0,0,0,0,0
2,5,51,3,2,1,0,0,0,0
2,6,58.5,4,3,2,1,0,0,0
2,7,64,5,4,3,2,1,0,0
2,8,72,6,5,4,3,2,1,0
2,9,78,7,6,5,4,3,2,1
3,1,22.5,0,0,0,0,0,0,0
3,2,28,0,0,0,0,0,0,0
3,3,36.5,1,0,0,0,0,0,0
3,4,41,2,1,0,0,0,0,0
3,5,47.5,3,2,1,0,0,0,0
3,6,55,4,3,2,1,0,0,0
3,7,61,5,4,3,2,1,0,0
3,8,68,6,5,4,3,2,1,0
3,9,76,7,6,5,4,3,2,1
4,1,24,0,0,0,0,0,0,0
4,2,31.5,0,0,0,0,0,0,0
4,3,39.5,1,0,0,0,0,0,0
4,4,44.5,2,1,0,0,0,0,0
4,5,51,3,2,1,0,0,0,0
4,6,56,4,3,2,1,0,0,0
4,7,59.5,5,4,3,2,1,0,0
4,8,64,6,5,4,3,2,1,0
4,9,67,7,6,5,4,3,2,1
5,1,24.5,0,0,0,0,0,0,0
5,2,31.5,0,0,0,0,0,0,0
5,3,37,1,0,0,0,0,0,0
5,4,42.5,2,1,0,0,0,0,0
5,5,48,3,2,1,0,0,0,0
5,6,54,4,3,2,1,0,0,0
5,7,58,5,4,3,2,1,0,0
5,8,63,6,5,4,3,2,1,0
5,9,65.5,7,6,5,4,3,2,1
6,1,23,0,0,0,0,0,0,0
6,2,30,0,0,0,0,0,0,0
6,3,35.5,1,0,0,0,0,0,0
6,4,41,2,1,0,0,0,0,0
6,5,48,3,2,1,0,0,0,0
6,6,51.5,4,3,2,1,0,0,0
6,7,56.5,5,4,3,2,1,0,0
6,8,63.5,6,5,4,3,2,1,0
6,9,69.5,7,6,5,4,3,2,1
7,1,22.5,0,0,0,0,0,0,0
7,2,28.5,0,0,0,0,0,0,0
7,3,36,1,0,0,0,0,0,0
7,4,43.5,2,1,0,0,0,0,0
7,5,47,3,2,1,0,0,0,0
7,6,53.5,4,3,2,1,0,0,0
7,7,59.5,5,4,3,2,1,0,0
7,8,67.5,6,5,4,3,2,1,0
7,9,73.5,7,6,5,4,3,2,1
8,1,23.5,0,0,0,0,0,0,0
8,2,30.5,0,0,0,0,0,0,0
8,3,38,1,0,0,0,0,0,0
8,4,41,2,1,0,0,0,0,0
8,5,48.5,3,2,1,0,0,0,0
8,6,55,4,3,2,1,0,0,0
8,7,59.5,5,4,3,2,1,0,0
8,8,66.5,6,5,4,3,2,1,0
8,9,73,7,6,5,4,3,2,1
9,1,20,0,0,0,0,0,0,0
9,2,27.5,0,0,0,0,0,0,0
9,3,33,1,0,0,0,0,0,0
9,4,39,2,1,0,0,0,0,0
9,5,43.5,3,2,1,0,0,0,0
9,6,49,4,3,2,1,0,0,0
9,7,54.5,5,4,3,2,1,0,0
9,8,59.5,6,5,4,3,2,1,0
9,9,65,7,6,5,4,3,2,1
10,1,25.5,0,0,0,0,0,0,0
10,2,32.5,0,0,0,0,0,0,0
10,3,39.5,1,0,0,0,0,0,0
10,4,47,2,1,0,0,0,0,0
10,5,53,3,2,1,0,0,0,0
10,6,58.5,4,3,2,1,0,0,0
10,7,63,5,4,3,2,1,0,0
10,8,69.5,6,5,4,3,2,1,0
10,9,76,7,6,5,4,3,2,1
11,1,24.5,0,0,0,0,0,0,0
11,2,31,0,0,0,0,0,0,0
11,3,40.5,1,0,0,0,0,0,0
11,4,46,2,1,0,0,0,0,0
11,5,51.5,3,2,1,0,0,0,0
11,6,57,4,3,2,1,0,0,0
11,7,62.5,5,4,3,2,1,0,0
11,8,69.5,6,5,4,3,2,1,0
11,9,76,7,6,5,4,3,2,1
12,1,24,0,0,0,0,0,0,0
12,2,29,0,0,0,0,0,0,0
12,3,39,1,0,0,0,0,0,0
12,4,44,2,1,0,0,0,0,0
12,5,50.5,3,2,1,0,0,0,0
12,6,57,4,3,2,1,0,0,0
12,7,61.5,5,4,3,2,1,0,0
12,8,68,6,5,4,3,2,1,0
12,9,73.5,7,6,5,4,3,2,1
13,1,23.5,0,0,0,0,0,0,0
13,2,30.5,0,0,0,0,0,0,0
13,3,36.5,1,0,0,0,0,0,0
13,4,42,2,1,0,0,0,0,0
13,5,47,3,2,1,0,0,0,0
13,6,55,4,3,2,1,0,0,0
13,7,59,5,4,3,2,1,0,0
13,8,65.5,6,5,4,3,2,1,0
13,9,73,7,6,5,4,3,2,1
14,1,21.5,0,0,0,0,0,0,0
14,2,30.5,0,0,0,0,0,0,0
14,3,37,1,0,0,0,0,0,0
14,4,42.5,2,1,0,0,0,0,0
14,5,48,3,2,1,0,0,0,0
14,6,52.5,4,3,2,1,0,0,0
14,7,58.5,5,4,3,2,1,0,0
14,8,63,6,5,4,3,2,1,0
14,9,69.5,7,6,5,4,3,2,1
15,1,25,0,0,0,0,0,0,0
15,2,32,0,0,0,0,0,0,0
15,3,38.5,1,0,0,0,0,0,0
15,4,44,2,1,0,0,0,0,0
15,5,51,3,2,1,0,0,0,0
15,6,59,4,3,2,1,0,0,0
15,7,66,5,4,3,2,1,0,0
15,8,75.5,6,5,4,3,2,1,0
15,9,86,7,6,5,4,3,2,1
16,1,21.5,0,0,0,0,0,0,0
16,2,28.5,0,0,0,0,0,0,0
16,3,34,1,0,0,0,0,0,0
16,4,39.5,2,1,0,0,0,0,0
16,5,45,3,2,1,0,0,0,0
16,6,51,4,3,2,1,0,0,0
16,7,58,5,4,3,2,1,0,0
16,8,64.5,6,5,4,3,2,1,0
16,9,72.5,7,6,5,4,3,2,1
17,1,31,0,0,0,0,0,0,0
17,2,38,0,0,0,0,0,0,0
17,3,48,1,0,0,0,0,0,0
17,4,54,2,1,0,0,0,0,0
17,5,60,3,2,1,0,0,0,0
17,6,62,4,3,2,1,0,0,0
17,7,66.5,5,4,3,2,1,0,0
17,8,75.5,6,5,4,3,2,1,0
17,9,84,7,6,5,4,3,2,1
18,1,27.5,0,0,0,0,0,0,0
18,2,32.5,0,0,0,0,0,0,0
18,3,36,1,0,0,0,0,0,0
18,4,43,2,1,0,0,0,0,0
18,5,49.5,3,2,1,0,0,0,0
18,6,52.5,4,3,2,1,0,0,0
18,7,56,5,4,3,2,1,0,0
18,8,61,6,5,4,3,2,1,0
18,9,64,7,6,5,4,3,2,1
19,1,30,0,0,0,0,0,0,0
19,2,37,0,0,0,0,0,0,0
19,3,45,1,0,0,0,0,0,0
19,4,51,2,1,0,0,0,0,0
19,5,58,3,2,1,0,0,0,0
19,6,63,4,3,2,1,0,0,0
19,7,67.5,5,4,3,2,1,0,0
19,8,74.5,6,5,4,3,2,1,0
19,9,81,7,6,5,4,3,2,1
20,1,26,0,0,0,0,0,0,0
20,2,32,0,0,0,0,0,0,0
20,3,40.5,1,0,0,0,0,0,0
20,4,45.5,2,1,0,0,0,0,0
20,5,52.5,3,2,1,0,0,0,0
20,6,55.5,4,3,2,1,0,0,0
20,7,62.5,5,4,3,2,1,0,0
20,8,69.5,6,5,4,3,2,1,0
20,9,74,7,6,5,4,3,2,1
21,1,26,0,0,0,0,0,0,0
21,2,32.5,0,0,0,0,0,0,0
21,3,39.5,1,0,0,0,0,0,0
21,4,44,2,1,0,0,0,0,0
21,5,48,3,2,1,0,0,0,0
21,6,54.5,4,3,2,1,0,0,0
21,7,58,5,4,3,2,1,0,0
21,8,66,6,5,4,3,2,1,0
21,9,73,7,6,5,4,3,2,1
22,1,28.5,0,0,0,0,0,0,0
22,2,35.5,0,0,0,0,0,0,0
22,3,41.5,1,0,0,0,0,0,0
22,4,47.5,2,1,0,0,0,0,0
22,5,54,3,2,1,0,0,0,0
22,6,59.5,4,3,2,1,0,0,0
22,7,63.5,5,4,3,2,1,0,0
22,8,71,6,5,4,3,2,1,0
22,9,78.5,7,6,5,4,3,2,1
23,1,26.5,0,0,0,0,0,0,0
23,2,34.5,0,0,0,0,0,0,0
23,3,42,1,0,0,0,0,0,0
23,4,48.5,2,1,0,0,0,0,0
23,5,55.5,3,2,1,0,0,0,0
23,6,62,4,3,2,1,0,0,0
23,7,68,5,4,3,2,1,0,0
23,8,76.5,6,5,4,3,2,1,0
23,9,85,7,6,5,4,3,2,1
24,1,27.5,0,0,0,0,0,0,0
24,2,33.5,0,0,0,0,0,0,0
24,3,41,1,0,0,0,0,0,0
24,4,45,2,1,0,0,0,0,0
24,5,50.5,3,2,1,0,0,0,0
24,6,56,4,3,2,1,0,0,0
24,7,62.5,5,4,3,2,1,0,0
24,8,71,6,5,4,3,2,1,0
24,9,78,7,6,5,4,3,2,1
25,1,22.5,0,0,0,0,0,0,0
25,2,27,0,0,0,0,0,0,0
25,3,33.5,1,0,0,0,0,0,0
25,4,38.5,2,1,0,0,0,0,0
25,5,41,3,2,1,0,0,0,0
25,6,49,4,3,2,1,0,0,0
25,7,56,5,4,3,2,1,0,0
25,8,64,6,5,4,3,2,1,0
25,9,68,7,6,5,4,3,2,1
26,1,22,0,0,0,0,0,0,0
26,2,26.5,0,0,0,0,0,0,0
26,3,32.5,1,0,0,0,0,0,0
26,4,38.5,2,1,0,0,0,0,0
26,5,43.5,3,2,1,0,0,0,0
26,6,50.5,4,3,2,1,0,0,0
26,7,56.5,5,4,3,2,1,0,0
26,8,63.5,6,5,4,3,2,1,0
26,9,68.5,7,6,5,4,3,2,1
27,1,23.5,0,0,0,0,0,0,0
27,2,29,0,0,0,0,0,0,0
27,3,35.5,1,0,0,0,0,0,0
27,4,40,2,1,0,0,0,0,0
27,5,45,3,2,1,0,0,0,0
27,6,50,4,3,2,1,0,0,0
27,7,56.5,5,4,3,2,1,0,0
27,8,63,6,5,4,3,2,1,0
27,9,67.5,7,6,5,4,3,2,1
28,1,22.5,0,0,0,0,0,0,0
28,2,29.5,0,0,0,0,0,0,0
28,3,36.5,1,0,0,0,0,0,0
28,4,42,2,1,0,0,0,0,0
28,5,45,3,2,1,0,0,0,0
28,6,55,4,3,2,1,0,0,0
28,7,61,5,4,3,2,1,0,0
28,8,68,6,5,4,3,2,1,0
28,9,72,7,6,5,4,3,2,1
29,1,27.5,0,0,0,0,0,0,0
29,2,34.5,0,0,0,0,0,0,0
29,3,42,1,0,0,0,0,0,0
29,4,47.5,2,1,0,0,0,0,0
29,5,53,3,2,1,0,0,0,0
29,6,63,4,3,2,1,0,0,0
29,7,72,5,4,3,2,1,0,0
29,8,79,6,5,4,3,2,1,0
29,9,85.5,7,6,5,4,3,2,1
30,1,23.5,0,0,0,0,0,0,0
30,2,28,0,0,0,0,0,0,0
30,3,33,1,0,0,0,0,0,0
30,4,37,2,1,0,0,0,0,0
30,5,38.5,3,2,1,0,0,0,0
30,6,48,4,3,2,1,0,0,0
30,7,52.5,5,4,3,2,1,0,0
30,8,62,6,5,4,3,2,1,0
30,9,64.5,7,6,5,4,3,2,1
31,1,24.5,0,0,0,0,0,0,0
31,2,30,0,0,0,0,0,0,0
31,3,38.5,1,0,0,0,0,0,0
31,4,42,2,1,0,0,0,0,0
31,5,47.5,3,2,1,0,0,0,0
31,6,54,4,3,2,1,0,0,0
31,7,62.5,5,4,3,2,1,0,0
31,8,71.5,6,5,4,3,2,1,0
31,9,77,7,6,5,4,3,2,1
32,1,24.5,0,0,0,0,0,0,0
32,2,31.5,0,0,0,0,0,0,0
32,3,40.5,1,0,0,0,0,0,0
32,4,46.5,2,1,0,0,0,0,0
32,5,51.5,3,2,1,0,0,0,0
32,6,61.5,4,3,2,1,0,0,0
32,7,68.5,5,4,3,2,1,0,0
32,8,77.5,6,5,4,3,2,1,0
32,9,84.5,7,6,5,4,3,2,1
33,1,24.5,0,0,0,0,0,0,0
33,2,32,0,0,0,0,0,0,0
33,3,39,1,0,0,0,0,0,0
33,4,45,2,1,0,0,0,0,0
33,5,51,3,2,1,0,0,0,0
33,6,55.5,4,3,2,1,0,0,0
33,7,61.5,5,4,3,2,1,0,0
33,8,69,6,5,4,3,2,1,0
33,9,75.5,7,6,5,4,3,2,1
34,1,24,0,0,0,0,0,0,0
34,2,32.5,0,0,0,0,0,0,0
34,3,40,1,0,0,0,0,0,0
34,4,48,2,1,0,0,0,0,0
34,5,54.5,3,2,1,0,0,0,0
34,6,61.5,4,3,2,1,0,0,0
34,7,68,5,4,3,2,1,0,0
34,8,74.5,6,5,4,3,2,1,0
34,9,81,7,6,5,4,3,2,1
35,1,24,0,0,0,0,0,0,0
35,2,31.5,0,0,0,0,0,0,0
35,3,38.5,1,0,0,0,0,0,0
35,4,44,2,1,0,0,0,0,0
35,5,51.5,3,2,1,0,0,0,0
35,6,57.5,4,3,2,1,0,0,0
35,7,64,5,4,3,2,1,0,0
35,8,72.5,6,5,4,3,2,1,0
35,9,79,7,6,5,4,3,2,1
36,1,24.5,0,0,0,0,0,0,0
36,2,32.5,0,0,0,0,0,0,0
36,3,39.5,1,0,0,0,0,0,0
36,4,44.5,2,1,0,0,0,0,0
36,5,52.5,3,2,1,0,0,0,0
36,6,56.5,4,3,2,1,0,0,0
36,7,62,5,4,3,2,1,0,0
36,8,67.5,6,5,4,3,2,1,0
36,9,72.5,7,6,5,4,3,2,1
37,1,24.5,0,0,0,0,0,0,0
37,2,32,0,0,0,0,0,0,0
37,3,38.5,1,0,0,0,0,0,0
37,4,44,2,1,0,0,0,0,0
37,5,50,3,2,1,0,0,0,0
37,6,56,4,3,2,1,0,0,0
37,7,63.5,5,4,3,2,1,0,0
37,8,69.5,6,5,4,3,2,1,0
37,9,76,7,6,5,4,3,2,1
38,1,25.5,0,0,0,0,0,0,0
38,2,33,0,0,0,0,0,0,0
38,3,41.5,1,0,0,0,0,0,0
38,4,47,2,1,0,0,0,0,0
38,5,55.5,3,2,1,0,0,0,0
38,6,60.5,4,3,2,1,0,0,0
38,7,66.5,5,4,3,2,1,0,0
38,8,77,6,5,4,3,2,1,0
38,9,82,7,6,5,4,3,2,1
39,1,25.5,0,0,0,0,0,0,0
39,2,32,0,0,0,0,0,0,0
39,3,39,1,0,0,0,0,0,0
39,4,45.5,2,1,0,0,0,0,0
39,5,51,3,2,1,0,0,0,0
39,6,57.5,4,3,2,1,0,0,0
39,7,63.5,5,4,3,2,1,0,0
39,8,72,6,5,4,3,2,1,0
39,9,78.5,7,6,5,4,3,2,1
40,1,25,0,0,0,0,0,0,0
40,2,31,0,0,0,0,0,0,0
40,3,36.5,1,0,0,0,0,0,0
40,4,43,2,1,0,0,0,0,0
40,5,50.5,3,2,1,0,0,0,0
40,6,55,4,3,2,1,0,0,0
40,7,62.5,5,4,3,2,1,0,0
40,8,69,6,5,4,3,2,1,0
40,9,75.5,7,6,5,4,3,2,1
41,1,26.5,0,0,0,0,0,0,0
41,2,30.5,0,0,0,0,0,0,0
41,3,33,1,0,0,0,0,0,0
41,4,39,2,1,0,0,0,0,0
41,5,43.5,3,2,1,0,0,0,0
41,6,49.5,4,3,2,1,0,0,0
41,7,56.5,5,4,3,2,1,0,0
41,8,61,6,5,4,3,2,1,0
41,9,65,7,6,5,4,3,2,1
42,1,24,0,0,0,0,0,0,0
42,2,32,0,0,0,0,0,0,0
42,3,39,1,0,0,0,0,0,0
42,4,44.5,2,1,0,0,0,0,0
42,5,50,3,2,1,0,0,0,0
42,6,56,4,3,2,1,0,0,0
42,7,63,5,4,3,2,1,0,0
42,8,67.5,6,5,4,3,2,1,0
42,9,74,7,6,5,4,3,2,1
43,1,24.5,0,0,0,0,0,0,0
43,2,31,0,0,0,0,0,0,0
43,3,37.5,1,0,0,0,0,0,0
43,4,43.5,2,1,0,0,0,0,0
43,5,48,3,2,1,0,0,0,0
43,6,56,4,3,2,1,0,0,0
43,7,62.5,5,4,3,2,1,0,0
43,8,66.5,6,5,4,3,2,1,0
43,9,70.5,7,6,5,4,3,2,1
44,1,27,0,0,0,0,0,0,0
44,2,34.5,0,0,0,0,0,0,0
44,3,42,1,0,0,0,0,0,0
44,4,48.5,2,1,0,0,0,0,0
44,5,53,3,2,1,0,0,0,0
44,6,60,4,3,2,1,0,0,0
44,7,67,5,4,3,2,1,0,0
44,8,73,6,5,4,3,2,1,0
44,9,76,7,6,5,4,3,2,1
45,1,31,0,0,0,0,0,0,0
45,2,39,0,0,0,0,0,0,0
45,3,47.5,1,0,0,0,0,0,0
45,4,51,2,1,0,0,0,0,0
45,5,57,3,2,1,0,0,0,0
45,6,64,4,3,2,1,0,0,0
45,7,71,5,4,3,2,1,0,0
45,8,77,6,5,4,3,2,1,0
45,9,80.5,7,6,5,4,3,2,1
46,1,27,0,0,0,0,0,0,0
46,2,33.5,0,0,0,0,0,0,0
46,3,40,1,0,0,0,0,0,0
46,4,46.5,2,1,0,0,0,0,0
46,5,53,3,2,1,0,0,0,0
46,6,60,4,3,2,1,0,0,0
46,7,66.5,5,4,3,2,1,0,0
46,8,72.5,6,5,4,3,2,1,0
46,9,80,7,6,5,4,3,2,1
47,1,29.5,0,0,0,0,0,0,0
47,2,37,0,0,0,0,0,0,0
47,3,46,1,0,0,0,0,0,0
47,4,52.5,2,1,0,0,0,0,0
47,5,60,3,2,1,0,0,0,0
47,6,67.5,4,3,2,1,0,0,0
47,7,76,5,4,3,2,1,0,0
47,8,81.5,6,5,4,3,2,1,0
47,9,88,7,6,5,4,3,2,1
48,1,28.5,0,0,0,0,0,0,0
48,2,36,0,0,0,0,0,0,0
48,3,42.5,1,0,0,0,0,0,0
48,4,49,2,1,0,0,0,0,0
48,5,55,3,2,1,0,0,0,0
48,6,63.5,4,3,2,1,0,0,0
48,7,72,5,4,3,2,1,0,0
48,8,78.5,6,5,4,3,2,1,0
48,9,85.5,7,6,5,4,3,2,1
